mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.05 p,   1.85 s,    8756867 N,  4733009 N/s, 
 8/ 0,   +1.04 p,   9.07 s,   38012351 N,  4192959 N/s, 
12/ 0,   +3.43 p,   0.95 s,    5339183 N,  5593224 N/s, 
mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.05 p,   2.12 s,    8596104 N,  4063237 N/s, 
 8/ 0,   +1.04 p,   9.78 s,   37159458 N,  3801225 N/s, 
12/ 0,   +3.43 p,   1.02 s,    4762665 N,  4649767 N/s, 
mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.05 p,   1.79 s,    8756867 N,  4884962 N/s, 
 8/ 0,   +1.04 p,   8.91 s,   38012351 N,  4264437 N/s, 
12/ 0,   +3.43 p,   0.94 s,    5339183 N,  5706667 N/s, 
mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.05 p,   2.16 s,   12889520 N,  5968747 N/s, 
 8/ 0,   +1.04 p,   7.65 s,   34894727 N,  4563894 N/s, 
12/ 0,   +3.43 p,   1.73 s,   14465271 N,  8378438 N/s, 
mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.05 p,   1.84 s,    8756867 N,  4749377 N/s, 
 8/ 0,   +1.04 p,   8.87 s,   38012351 N,  4287475 N/s, 
12/ 0,   +3.43 p,   0.93 s,    5339183 N,  5754515 N/s, 
mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.05 p,   1.67 s,    8756867 N,  5244872 N/s, d7d5

 8/ 0,   +1.04 p,   8.83 s,   38012351 N,  4305337 N/s, f3b3

12/ 0,   +3.43 p,   0.93 s,    5339183 N,  5764668 N/s, d4b6

mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
10/ 0,   -0.06 p,  47.59 s,  247193187 N,  5193830 N/s, d7d5

10/ 0,   +0.99 p, 218.48 s,  860914711 N,  3940431 N/s, b2b3

