mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         33 N,  2553784 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        173 N,  1752786 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,       1048 N,  4920696 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4120 N,  5039034 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      22584 N,  6633137 N/s, d7d5
 6/ 0,   -0.07 p,   0.02 s,     107409 N,  5713831 N/s, d7d5
 7/ 0,   +0.01 p,   0.10 s,     581961 N,  5998462 N/s, d7d5
 8/ 0,   -0.05 p,   0.42 s,    2379519 N,  5687247 N/s, d7d5
 9/ 0,   +0.06 p,   1.44 s,    9028756 N,  6279455 N/s, d7d5
10/ 0,   -0.06 p,   7.83 s,   45628761 N,  5825927 N/s, d7d5
11/ 0,   +0.01 p,  25.35 s,  154044423 N,  6075693 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        114 N,  4829076 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        513 N,  4387578 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2582 N,  7980910 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      15463 N,  5854241 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      82412 N,  7673558 N/s, f1f2
 6/ 0,   +1.00 p,   0.07 s,     395526 N,  5389583 N/s, f1f2
 7/ 0,   +1.05 p,   0.19 s,    1556464 N,  8101522 N/s, f1f2
 8/ 0,   +1.04 p,   1.87 s,   10025532 N,  5363249 N/s, f3b3
 9/ 0,   +1.04 p,   5.04 s,   37929081 N,  7521394 N/s, f3b3
10/ 0,   +0.99 p,  36.22 s,  198615706 N,  5484240 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         38 N,  3603261 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        103 N,  2610304 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        475 N,  5966062 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1373 N,  6172506 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       4999 N,  8238788 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      13388 N,  7428105 N/s, d4c3
 7/ 0,   -0.03 p,   0.00 s,      37586 N,  8124791 N/s, d4c3
 8/ 0,   -0.04 p,   0.02 s,     144063 N,  7488781 N/s, d4c3
 9/ 0,   -0.01 p,   0.07 s,     585039 N,  8162991 N/s, d4e3
10/ 0,   -0.06 p,   0.20 s,    1604731 N,  8224458 N/s, d4e3
11/ 0,   -0.02 p,   0.69 s,    6543470 N,  9456722 N/s, d4e3
12/ 0,   +3.43 p,   2.87 s,   25594175 N,  8908551 N/s, d4b6
13/ 0,   +3.53 p,   6.77 s,   71316081 N, 10528049 N/s, d4b6
14/ 0,   +3.63 p,  10.28 s,   99707665 N,  9699954 N/s, d4b6
15/ 0,   +3.85 p,  11.79 s,  114339156 N,  9694780 N/s, d4b6
16/ 0,   +4.48 p,  17.28 s,  151902913 N,  8793051 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        194 N,  5500737 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        611 N,  4280270 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       4310 N,  7333886 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      15312 N,  5485541 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      79333 N,  7771049 N/s, e6d6
 6/ 0,   +0.18 p,   0.06 s,     328209 N,  5425328 N/s, e6d6
 7/ 0,   +0.20 p,   0.17 s,    1310323 N,  7817719 N/s, e6d6
 8/ 0,   +0.14 p,   0.99 s,    5219063 N,  5298081 N/s, d3a6
 9/ 0,   +0.13 p,   2.43 s,   19193126 N,  7897558 N/s, d3a6
10/ 0,   +0.14 p,  12.94 s,   62948828 N,  4863232 N/s, d3a6
11/ 0,   +0.20 p,  31.15 s,  236562840 N,  7594653 N/s, e6d6



mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         33 N,  2684673 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        173 N,  1745676 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,       1048 N,  4883140 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4120 N,  5085578 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      22584 N,  6838488 N/s, d7d5
 6/ 0,   -0.07 p,   0.02 s,     107409 N,  5735788 N/s, d7d5
 7/ 0,   +0.01 p,   0.10 s,     581939 N,  5952183 N/s, d7d5
 8/ 0,   -0.05 p,   0.42 s,    2379469 N,  5713950 N/s, d7d5
 9/ 0,   +0.06 p,   1.43 s,    9028043 N,  6297291 N/s, d7d5
10/ 0,   -0.06 p,   7.82 s,   45626754 N,  5836670 N/s, d7d5
11/ 0,   +0.01 p,  25.36 s,  154061409 N,  6075630 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        114 N,  4815206 N/s, f3b3
